,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,outliercalcId
0,0,3,male,22,1,0,7.25,S,Third,man,True,C,Southampton,no,False,3
1,1,1,female,38,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,1
2,1,3,female,26,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,3
3,1,1,female,35,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,1
4,0,3,male,35,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
5,0,3,male,33,0,0,8.4583,Q,Third,man,True,C,Queenstown,no,True,3
6,0,1,male,54,0,0,51.8625,S,First,man,True,E,Southampton,no,True,1
7,0,3,male,2,3,1,21.075,S,Third,child,False,C,Southampton,no,False,3
8,1,3,female,27,0,2,11.1333,S,Third,woman,False,C,Southampton,yes,False,3
9,1,2,female,14,1,0,30.0708,C,Second,child,False,C,Cherbourg,yes,False,2
10,1,3,female,4,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,3
11,1,1,female,58,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,1
12,0,3,male,20,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
13,0,3,male,39,1,5,31.275,S,Third,man,True,C,Southampton,no,False,3
14,0,3,female,14,0,0,7.8542,S,Third,child,False,C,Southampton,no,True,3
15,1,2,female,55,0,0,16.0,S,Second,woman,False,C,Southampton,yes,True,2
16,0,3,male,2,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,3
17,1,2,male,33,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,2
18,0,3,female,31,1,0,18.0,S,Third,woman,False,C,Southampton,no,False,3
19,1,3,female,32,0,0,7.225,C,Third,woman,False,C,Cherbourg,yes,True,3
20,0,2,male,35,0,0,26.0,S,Second,man,True,C,Southampton,no,True,2
21,1,2,male,34,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,2
22,1,3,female,15,0,0,8.0292,Q,Third,child,False,C,Queenstown,yes,True,3
23,1,1,male,28,0,0,35.5,S,First,man,True,A,Southampton,yes,True,1
24,0,3,female,8,3,1,21.075,S,Third,child,False,C,Southampton,no,False,3
25,1,3,female,38,1,5,31.3875,S,Third,woman,False,C,Southampton,yes,False,3
26,0,3,male,33,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,3
27,0,1,male,19,3,2,263.0,S,First,man,True,C,Southampton,no,False,1
28,1,3,female,32,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,3
29,0,3,male,33,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
30,0,1,male,40,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,1
31,1,1,female,32,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,1
32,1,3,female,32,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,3
33,0,2,male,66,0,0,10.5,S,Second,man,True,C,Southampton,no,True,2
34,0,1,male,28,1,0,82.1708,C,First,man,True,C,Cherbourg,no,False,1
35,0,1,male,42,1,0,52.0,S,First,man,True,C,Southampton,no,False,1
36,1,3,male,33,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True,3
37,0,3,male,21,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
38,0,3,female,18,2,0,18.0,S,Third,woman,False,C,Southampton,no,False,3
39,1,3,female,14,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,3
40,0,3,female,40,1,0,9.475,S,Third,woman,False,C,Southampton,no,False,3
41,0,2,female,27,1,0,21.0,S,Second,woman,False,C,Southampton,no,False,2
42,0,3,male,33,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,3
43,1,2,female,3,1,2,41.5792,C,Second,child,False,C,Cherbourg,yes,False,2
44,1,3,female,19,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,3
45,0,3,male,33,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
46,0,3,male,33,1,0,15.5,Q,Third,man,True,C,Queenstown,no,False,3
47,1,3,female,32,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,3
48,0,3,male,33,2,0,21.6792,C,Third,man,True,C,Cherbourg,no,False,3
49,0,3,female,18,1,0,17.8,S,Third,woman,False,C,Southampton,no,False,3
50,0,3,male,7,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,3
51,0,3,male,21,0,0,7.8,S,Third,man,True,C,Southampton,no,True,3
52,1,1,female,49,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,1
53,1,2,female,29,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,2
54,0,1,male,65,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,1
55,1,1,male,33,0,0,35.5,S,First,man,True,C,Southampton,yes,True,1
56,1,2,female,21,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,2
57,0,3,male,28,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,3
58,1,2,female,5,1,2,27.75,S,Second,child,False,C,Southampton,yes,False,2
59,0,3,male,11,5,2,46.9,S,Third,child,False,C,Southampton,no,False,3
60,0,3,male,22,0,0,7.2292,C,Third,man,True,C,Cherbourg,no,True,3
61,1,1,female,38,0,0,80.0,S,First,woman,False,B,Southampton,yes,True,1
62,0,1,male,45,1,0,83.475,S,First,man,True,C,Southampton,no,False,1
63,0,3,male,4,3,2,27.9,S,Third,child,False,C,Southampton,no,False,3
64,0,1,male,33,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,1
65,1,3,male,33,1,1,15.2458,C,Third,man,True,C,Cherbourg,yes,False,3
66,1,2,female,29,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,2
67,0,3,male,19,0,0,8.1583,S,Third,man,True,C,Southampton,no,True,3
68,1,3,female,17,4,2,7.925,S,Third,woman,False,C,Southampton,yes,False,3
69,0,3,male,26,2,0,8.6625,S,Third,man,True,C,Southampton,no,False,3
70,0,2,male,32,0,0,10.5,S,Second,man,True,C,Southampton,no,True,2
71,0,3,female,16,5,2,46.9,S,Third,woman,False,C,Southampton,no,False,3
72,0,2,male,21,0,0,73.5,S,Second,man,True,C,Southampton,no,True,2
73,0,3,male,26,1,0,14.4542,C,Third,man,True,C,Cherbourg,no,False,3
74,1,3,male,32,0,0,56.4958,S,Third,man,True,C,Southampton,yes,True,3
75,0,3,male,25,0,0,7.65,S,Third,man,True,F,Southampton,no,True,3
76,0,3,male,33,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
77,0,3,male,33,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
78,1,2,male,0,0,2,29.0,S,Second,child,False,C,Southampton,yes,False,2
79,1,3,female,30,0,0,12.475,S,Third,woman,False,C,Southampton,yes,True,3
80,0,3,male,22,0,0,9.0,S,Third,man,True,C,Southampton,no,True,3
81,1,3,male,29,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,3
82,1,3,female,32,0,0,7.7875,Q,Third,woman,False,C,Queenstown,yes,True,3
83,0,1,male,28,0,0,47.1,S,First,man,True,C,Southampton,no,True,1
84,1,2,female,17,0,0,10.5,S,Second,woman,False,C,Southampton,yes,True,2
85,1,3,female,33,3,0,15.85,S,Third,woman,False,C,Southampton,yes,False,3
86,0,3,male,16,1,3,34.375,S,Third,man,True,C,Southampton,no,False,3
87,0,3,male,33,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
88,1,1,female,23,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,1
89,0,3,male,24,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
90,0,3,male,29,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
91,0,3,male,20,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,3
92,0,1,male,46,1,0,61.175,S,First,man,True,E,Southampton,no,False,1
93,0,3,male,26,1,2,20.575,S,Third,man,True,C,Southampton,no,False,3
94,0,3,male,59,0,0,7.25,S,Third,man,True,C,Southampton,no,True,3
95,0,3,male,33,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
96,0,1,male,71,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,1
97,1,1,male,23,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,1
98,1,2,female,34,0,1,23.0,S,Second,woman,False,C,Southampton,yes,False,2
99,0,2,male,34,1,0,26.0,S,Second,man,True,C,Southampton,no,False,2
100,0,3,female,28,0,0,7.8958,S,Third,woman,False,C,Southampton,no,True,3
101,0,3,male,33,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
102,0,1,male,21,0,1,77.2875,S,First,man,True,D,Southampton,no,False,1
103,0,3,male,33,0,0,8.6542,S,Third,man,True,C,Southampton,no,True,3
104,0,3,male,37,2,0,7.925,S,Third,man,True,C,Southampton,no,False,3
105,0,3,male,28,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
106,1,3,female,21,0,0,7.65,S,Third,woman,False,C,Southampton,yes,True,3
107,1,3,male,33,0,0,7.775,S,Third,man,True,C,Southampton,yes,True,3
108,0,3,male,38,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
109,1,3,female,32,1,0,24.15,Q,Third,woman,False,C,Queenstown,yes,False,3
110,0,1,male,47,0,0,52.0,S,First,man,True,C,Southampton,no,True,1
111,0,3,female,14,1,0,14.4542,C,Third,child,False,C,Cherbourg,no,False,3
112,0,3,male,22,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
113,0,3,female,20,1,0,9.825,S,Third,woman,False,C,Southampton,no,False,3
114,0,3,female,17,0,0,14.4583,C,Third,woman,False,C,Cherbourg,no,True,3
115,0,3,male,21,0,0,7.925,S,Third,man,True,C,Southampton,no,True,3
116,0,3,male,70,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,3
117,0,2,male,29,1,0,21.0,S,Second,man,True,C,Southampton,no,False,2
118,0,1,male,24,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,1
119,0,3,female,2,4,2,31.275,S,Third,child,False,C,Southampton,no,False,3
120,0,2,male,21,2,0,73.5,S,Second,man,True,C,Southampton,no,False,2
121,0,3,male,33,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
122,0,2,male,32,1,0,30.0708,C,Second,man,True,C,Cherbourg,no,False,2
123,1,2,female,32,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,2
124,0,1,male,54,0,1,77.2875,S,First,man,True,D,Southampton,no,False,1
125,1,3,male,12,1,0,11.2417,C,Third,child,False,C,Cherbourg,yes,False,3
126,0,3,male,33,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,3
127,1,3,male,24,0,0,7.1417,S,Third,man,True,C,Southampton,yes,True,3
128,1,3,female,32,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,3
129,0,3,male,45,0,0,6.975,S,Third,man,True,C,Southampton,no,True,3
130,0,3,male,33,0,0,7.8958,C,Third,man,True,C,Cherbourg,no,True,3
131,0,3,male,20,0,0,7.05,S,Third,man,True,C,Southampton,no,True,3
132,0,3,female,47,1,0,14.5,S,Third,woman,False,C,Southampton,no,False,3
133,1,2,female,29,1,0,26.0,S,Second,woman,False,C,Southampton,yes,False,2
134,0,2,male,25,0,0,13.0,S,Second,man,True,C,Southampton,no,True,2
135,0,2,male,23,0,0,15.0458,C,Second,man,True,C,Cherbourg,no,True,2
136,1,1,female,19,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,1
137,0,1,male,37,1,0,53.1,S,First,man,True,C,Southampton,no,False,1
138,0,3,male,16,0,0,9.2167,S,Third,man,True,C,Southampton,no,True,3
139,0,1,male,24,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,1
140,0,3,female,32,0,2,15.2458,C,Third,woman,False,C,Cherbourg,no,False,3
141,1,3,female,22,0,0,7.75,S,Third,woman,False,C,Southampton,yes,True,3
142,1,3,female,24,1,0,15.85,S,Third,woman,False,C,Southampton,yes,False,3
143,0,3,male,19,0,0,6.75,Q,Third,man,True,C,Queenstown,no,True,3
144,0,2,male,18,0,0,11.5,S,Second,man,True,C,Southampton,no,True,2
145,0,2,male,19,1,1,36.75,S,Second,man,True,C,Southampton,no,False,2
146,1,3,male,27,0,0,7.7958,S,Third,man,True,C,Southampton,yes,True,3
147,0,3,female,9,2,2,34.375,S,Third,child,False,C,Southampton,no,False,3
148,0,2,male,36,0,2,26.0,S,Second,man,True,F,Southampton,no,False,2
149,0,2,male,42,0,0,13.0,S,Second,man,True,C,Southampton,no,True,2
150,0,2,male,51,0,0,12.525,S,Second,man,True,C,Southampton,no,True,2
151,1,1,female,22,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,1
152,0,3,male,55,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
153,0,3,male,40,0,2,14.5,S,Third,man,True,C,Southampton,no,False,3
154,0,3,male,33,0,0,7.3125,S,Third,man,True,C,Southampton,no,True,3
155,0,1,male,51,0,1,61.3792,C,First,man,True,C,Cherbourg,no,False,1
156,1,3,female,16,0,0,7.7333,Q,Third,woman,False,C,Queenstown,yes,True,3
157,0,3,male,30,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
158,0,3,male,33,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,3
159,0,3,male,33,8,2,69.55,S,Third,man,True,C,Southampton,no,False,3
160,0,3,male,44,0,1,16.1,S,Third,man,True,C,Southampton,no,False,3
161,1,2,female,40,0,0,15.75,S,Second,woman,False,C,Southampton,yes,True,2
162,0,3,male,26,0,0,7.775,S,Third,man,True,C,Southampton,no,True,3
163,0,3,male,17,0,0,8.6625,S,Third,man,True,C,Southampton,no,True,3
164,0,3,male,1,4,1,39.6875,S,Third,child,False,C,Southampton,no,False,3
165,1,3,male,9,0,2,20.525,S,Third,child,False,C,Southampton,yes,False,3
166,1,1,female,32,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,1
167,0,3,female,45,1,4,27.9,S,Third,woman,False,C,Southampton,no,False,3
168,0,1,male,33,0,0,25.925,S,First,man,True,C,Southampton,no,True,1
169,0,3,male,28,0,0,56.4958,S,Third,man,True,C,Southampton,no,True,3
170,0,1,male,61,0,0,33.5,S,First,man,True,B,Southampton,no,True,1
171,0,3,male,4,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,3
172,1,3,female,1,1,1,11.1333,S,Third,child,False,C,Southampton,yes,False,3
173,0,3,male,21,0,0,7.925,S,Third,man,True,C,Southampton,no,True,3
174,0,1,male,56,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,1
175,0,3,male,18,1,1,7.8542,S,Third,man,True,C,Southampton,no,False,3
176,0,3,male,33,3,1,25.4667,S,Third,man,True,C,Southampton,no,False,3
177,0,1,female,50,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,1
178,0,2,male,30,0,0,13.0,S,Second,man,True,C,Southampton,no,True,2
179,0,3,male,36,0,0,0.0,S,Third,man,True,C,Southampton,no,True,3
180,0,3,female,32,8,2,69.55,S,Third,woman,False,C,Southampton,no,False,3
181,0,2,male,33,0,0,15.05,C,Second,man,True,C,Cherbourg,no,True,2
182,0,3,male,9,4,2,31.3875,S,Third,child,False,C,Southampton,no,False,3
183,1,2,male,1,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,2
184,1,3,female,4,0,2,22.025,S,Third,child,False,C,Southampton,yes,False,3
185,0,1,male,33,0,0,50.0,S,First,man,True,A,Southampton,no,True,1
186,1,3,female,32,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False,3
187,1,1,male,45,0,0,26.55,S,First,man,True,C,Southampton,yes,True,1
188,0,3,male,40,1,1,15.5,Q,Third,man,True,C,Queenstown,no,False,3
189,0,3,male,36,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
190,1,2,female,32,0,0,13.0,S,Second,woman,False,C,Southampton,yes,True,2
191,0,2,male,19,0,0,13.0,S,Second,man,True,C,Southampton,no,True,2
192,1,3,female,19,1,0,7.8542,S,Third,woman,False,C,Southampton,yes,False,3
193,1,2,male,3,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,2
194,1,1,female,44,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,1
195,1,1,female,58,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,1
196,0,3,male,33,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,3
197,0,3,male,42,0,1,8.4042,S,Third,man,True,C,Southampton,no,False,3
198,1,3,female,32,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,3
199,0,2,female,24,0,0,13.0,S,Second,woman,False,C,Southampton,no,True,2
200,0,3,male,28,0,0,9.5,S,Third,man,True,C,Southampton,no,True,3
201,0,3,male,33,8,2,69.55,S,Third,man,True,C,Southampton,no,False,3
202,0,3,male,34,0,0,6.4958,S,Third,man,True,C,Southampton,no,True,3
203,0,3,male,45,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,3
204,1,3,male,18,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,3
205,0,3,female,2,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,3
206,0,3,male,32,1,0,15.85,S,Third,man,True,C,Southampton,no,False,3
207,1,3,male,26,0,0,18.7875,C,Third,man,True,C,Cherbourg,yes,True,3
208,1,3,female,16,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,3
209,1,1,male,40,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,1
210,0,3,male,24,0,0,7.05,S,Third,man,True,C,Southampton,no,True,3
211,1,2,female,35,0,0,21.0,S,Second,woman,False,C,Southampton,yes,True,2
212,0,3,male,22,0,0,7.25,S,Third,man,True,C,Southampton,no,True,3
213,0,2,male,30,0,0,13.0,S,Second,man,True,C,Southampton,no,True,2
214,0,3,male,33,1,0,7.75,Q,Third,man,True,C,Queenstown,no,False,3
215,1,1,female,31,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,1
216,1,3,female,27,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,3
217,0,2,male,42,1,0,27.0,S,Second,man,True,C,Southampton,no,False,2
218,1,1,female,32,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,1
219,0,2,male,30,0,0,10.5,S,Second,man,True,C,Southampton,no,True,2
220,1,3,male,16,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,3
221,0,2,male,27,0,0,13.0,S,Second,man,True,C,Southampton,no,True,2
222,0,3,male,51,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3
223,0,3,male,33,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
224,1,1,male,38,1,0,90.0,S,First,man,True,C,Southampton,yes,False,1
225,0,3,male,22,0,0,9.35,S,Third,man,True,C,Southampton,no,True,3
226,1,2,male,19,0,0,10.5,S,Second,man,True,C,Southampton,yes,True,2
227,0,3,male,20,0,0,7.25,S,Third,man,True,C,Southampton,no,True,3
228,0,2,male,18,0,0,13.0,S,Second,man,True,C,Southampton,no,True,2
229,0,3,female,32,3,1,25.4667,S,Third,woman,False,C,Southampton,no,False,3
230,1,1,female,35,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,1
231,0,3,male,29,0,0,7.775,S,Third,man,True,C,Southampton,no,True,3
232,0,2,male,59,0,0,13.5,S,Second,man,True,C,Southampton,no,True,2
233,1,3,female,5,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False,3
234,0,2,male,24,0,0,10.5,S,Second,man,True,C,Southampton,no,True,2
235,0,3,female,32,0,0,7.55,S,Third,woman,False,C,Southampton,no,True,3
236,0,2,male,44,1,0,26.0,S,Second,man,True,C,Southampton,no,False,2
237,1,2,female,8,0,2,26.25,S,Second,child,False,C,Southampton,yes,False,2
238,0,2,male,19,0,0,10.5,S,Second,man,True,C,Southampton,no,True,2
239,0,2,male,33,0,0,12.275,S,Second,man,True,C,Southampton,no,True,2
240,0,3,female,32,1,0,14.4542,C,Third,woman,False,C,Cherbourg,no,False,3
241,1,3,female,32,1,0,15.5,Q,Third,woman,False,C,Queenstown,yes,False,3
242,0,2,male,29,0,0,10.5,S,Second,man,True,C,Southampton,no,True,2
243,0,3,male,22,0,0,7.125,S,Third,man,True,C,Southampton,no,True,3
244,0,3,male,30,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,3
245,0,1,male,44,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,1
246,0,3,female,25,0,0,7.775,S,Third,woman,False,C,Southampton,no,True,3
247,1,2,female,24,0,2,14.5,S,Second,woman,False,C,Southampton,yes,False,2
248,1,1,male,37,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,1
249,0,2,male,54,1,0,26.0,S,Second,man,True,C,Southampton,no,False,2
250,0,3,male,33,0,0,7.25,S,Third,man,True,C,Southampton,no,True,3
251,0,3,female,29,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,3
252,0,1,male,62,0,0,26.55,S,First,man,True,C,Southampton,no,True,1
253,0,3,male,30,1,0,16.1,S,Third,man,True,C,Southampton,no,False,3
254,0,3,female,41,0,2,20.2125,S,Third,woman,False,C,Southampton,no,False,3
255,1,3,female,29,0,2,15.2458,C,Third,woman,False,C,Cherbourg,yes,False,3
256,1,1,female,32,0,0,79.2,C,First,woman,False,C,Cherbourg,yes,True,1
257,1,1,female,30,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,1
258,1,1,female,35,0,0,512.3292,C,First,woman,False,C,Cherbourg,yes,True,1
259,1,2,female,50,0,1,26.0,S,Second,woman,False,C,Southampton,yes,False,2
260,0,3,male,33,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,3
261,1,3,male,3,4,2,31.3875,S,Third,child,False,C,Southampton,yes,False,3
262,0,1,male,52,1,1,79.65,S,First,man,True,E,Southampton,no,False,1
263,0,1,male,40,0,0,0.0,S,First,man,True,B,Southampton,no,True,1
264,0,3,female,32,0,0,7.75,Q,Third,woman,False,C,Queenstown,no,True,3
265,0,2,male,36,0,0,10.5,S,Second,man,True,C,Southampton,no,True,2
266,0,3,male,16,4,1,39.6875,S,Third,man,True,C,Southampton,no,False,3
267,1,3,male,25,1,0,7.775,S,Third,man,True,C,Southampton,yes,False,3
268,1,1,female,58,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,1
269,1,1,female,35,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,1
270,0,1,male,33,0,0,31.0,S,First,man,True,C,Southampton,no,True,1
271,1,3,male,25,0,0,0.0,S,Third,man,True,C,Southampton,yes,True,3
272,1,2,female,41,0,1,19.5,S,Second,woman,False,C,Southampton,yes,False,2
273,0,1,male,37,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,1
274,1,3,female,32,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,3
275,1,1,female,63,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,1
276,0,3,female,45,0,0,7.75,S,Third,woman,False,C,Southampton,no,True,3
277,0,2,male,33,0,0,0.0,S,Second,man,True,C,Southampton,no,True,2
278,0,3,male,7,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,3
279,1,3,female,35,1,1,20.25,S,Third,woman,False,C,Southampton,yes,False,3
280,0,3,male,65,0,0,7.75,Q,Third,man,True,C,Queenstown,no,True,3
281,0,3,male,28,0,0,7.8542,S,Third,man,True,C,Southampton,no,True,3
282,0,3,male,16,0,0,9.5,S,Third,man,True,C,Southampton,no,True,3
283,1,3,male,19,0,0,8.05,S,Third,man,True,C,Southampton,yes,True,3
284,0,1,male,33,0,0,26.0,S,First,man,True,A,Southampton,no,True,1
285,0,3,male,33,0,0,8.6625,C,Third,man,True,C,Cherbourg,no,True,3
286,1,3,male,30,0,0,9.5,S,Third,man,True,C,Southampton,yes,True,3
287,0,3,male,22,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
288,1,2,male,42,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,2
289,1,3,female,22,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,3
290,1,1,female,26,0,0,78.85,S,First,woman,False,C,Southampton,yes,True,1
291,1,1,female,19,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,1
292,0,2,male,36,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,2
293,0,3,female,24,0,0,8.85,S,Third,woman,False,C,Southampton,no,True,3
294,0,3,male,24,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,3
295,0,1,male,33,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,1
